PRODUCTO,CANTIDAD_PRODUCTO, PRECIO_TOTAL,FECHA,AÑO,MES,NomMes,DIA,REFERENCIA,GENERO,TALLA,CANTIDAD_DEVOLUCION, PRECIO_TOTAL_DEVOL
[701017M] PLAYERA BAUSI 701017 (M),13, $  57.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701017S] PLAYERA BAUSI 701017 (S),5, $  22.800 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701017XL] PLAYERA BAUSI 701017 (XL),12, $  49.900 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701017XXL] PLAYERA BAUSI 701017 (XXL),5, $  23.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701054L] PLAYERA BAUSI 701054 (L),4, $  16.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701054M] PLAYERA BAUSI 701054 (M),1, $  3.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701054XL] PLAYERA BAUSI 701054 (XL),3, $  11.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701055L] PLAYERA BAUSI 701055 (L),10, $  39.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701055M] PLAYERA BAUSI 701055 (M),8, $  33.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701055S] PLAYERA BAUSI 701055 (S),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
